id,datasetName,scientificName,municipality,locality,county,stateProvince,country,verbatimLatitude,verbatimLongitude,verbatimElevation,habitat,comment,verbatimEventDate,eventDate,recordedBy,recordNumber,identifiedBy,dateIdentified,otherCatalogNumbers,associatedTaxa,,
cs_16625_13,MISSOURI BOTANICAL GARDEN HERBARIUM (MO),Schlotheimia rugifolia (W. J. Hooker) Schwägrichen,,Along the Raspaculo Branch above the confluence with the Monkey Tail Branch.,,Cayo,Belize,16º 49' N,88º 56' W,395 meters,"On tree trunk, mixed with Groutiella tomentosa","Encoded in TROPICOS, <18325-18338>",12 December 1996,1996-12-12,Bruce Allen,18332,B. Allen,1997,,Groutiella tomentosa,,
cs_16625_14,Mosses of Finland,Sphagnum tenellum Ehrh. ex Hoffm.,,at Taipaleensuo about 15 km. west of Hameenlinna.,,,Finland,60º 59' N,24º 07' E,,On submerged peat in bottom of shallow pool in almost treeless areas of eutrophic fen,,17 September 1987,1987-09-17,D. H. Norris,73406,,,,,,
cs_16625_16,,Marchantia polymorpha L.,,"Along Big East River ca. 6 miles east of Port Saunders, Northern Peninsula.",,Newfoundland,,,,,"Moist, diffusely lit soil.",,17 July 1966,1966-07-17,D. H. Norris,4425L,A. Whittemore,1979-07,,,,
cs_16625_17,Bryophytes of Australia,Bryum billardieri Schwägr.,Deloraine Municipality,near Stella Glen.,,Tasmania,Australia,41º 39' S,146º 42' E,600 M.,"On moist, diffusely lit soil of upturned stump in wet schlerophyll forest with scattered Nothofagus",,16 January 1974,1974-01-16,D. H. Norris,32918,,,,Nothofagus,,
cs_16625_18,,Aerobryopsis scariosa Bartram,,The Pali.,Oahu,Hawaiian Islands,,,,,"On ground under brush by roadway, near crest.","(Previously known only from Luzon, P. I.), Fay A. MacFadden Herb. no. 22915",27 December 1958,1958-12-27,Gail Savage,,E. B. Bartram,,Ex Herb. P. M. Patterson #2869,,,
cs_16625_19,BRYOPHYTES OF THE HAWAIIAN ISLANDS,Bryum megalostegium Sulliv.,,"Papali Gulch, Hauula, Koolau range",Oahu,,,,,1500 ft.,,,26 Oct. 1952,1952-10-26,HAM,2622,,,Ex Herbarium Harvey Alfred Miller,,,
cs_16625_21,BLUE RIDGE MOSSES,Dicranum fulvum Hook.,,"S. W. Virginia, East Slope White Top Mountain",GRAYSON,,,,,3500 FEET,,,"August 11-12, 1892",1892-08-11,John K. Small,2500,,,,,,
IMG_3165,,Grimmia trichophylla Grev.,,at Idlewyld Campground ca. 10 miles east of Sawyers Bar on road to Etna.,Siskiyou,California,,,,,"On frequently flooded, sunny cracks in boulder near stream in mixed evergreen forest.",,April 1970,1970-04,D. H. Norris,11839,,,,,,
IMG_3166,Bryophytes of Monterey Co. California,Grimmia trichophylla Grev.,,"Poison Oak Hill, Hastings Natural History Reservation",Monterey,California,,,,,on rock,,Mar-7-1944,2044-03-07,Anonymous,100,E. Bartram,1944,,,,
IMG_3169,,,,,,,,,,,,,19 28/7 12,1912-07-28,,,,,,,,
IMG_3170,,Hedwigia ciliata (Hedw.) P. Beauv.,,"Holy Cross Mountains. Lysogory Range, Lysica Mountain",,Kielce,,,,611 m,"on dry, siliceous boulders, in sunny places.","Prodr. 15. 1805. - Anictangium ciliatum Hedw., Spec. Musc. 40. 1801. - Hedwigia albicans Lindb., Oefv. K. Vet. Ak. Foerh. 21: 421. 1864.",25 August 1957,1957-08-25,M. Kuc,143,,,Ochyra - MUSCI POLONIAE EXSICCATI,,,
IMG_3171,BRYOFLORA OF THE REPUBLIC OF KOREA,Herzogiella perrobusta (Broth. ex Card.) Iwats.,,"UNCH'ON REGION, 8th U.S. Army Installation. Rodriquez MPRC, Cherokee Valley Range. About 5 km north of Yong'yong Ch'on River and about 7 air km SW of Unch'on.",POCH-ON-GUN,KYONGGI-DO PROVINCE ,Korea ,"38 degrees 02'25"" N","127 degrees 12'10"" E",200 m.,On north-facing slope above Larix stand in a mixed hardwood forest. Shaded metamorphic gneiss rocks. ,"UNIVERSITY OF CALIFORNIA, BERKELEY",14 Aug 1997,1997-08-14,James R. Shevock,16206,Si He ,1998-03,,,,
IMG_3173,"HERBARIUM OF THE UNIVERSITY OF CALIFORNIA, BERKELEY",,,Volcan Llalmo,,Caulin ,Chile,,,1000m,,,11. 1927.,1927-11,,323238,Index Muscorum,1970-12,,,,
IMG_3174,,Homalothecium fulgescens (Mitt. ex C. Mull). Lawton,,Inside the city of Sequim (Sequim Road at Hanson Street.,Clallam,Washington,,48º 06' N,123º 05' N,ca. 20 m.,"On moist, diffusely lit bark of Quercus garryana in remnant patch of Quercus garryana",,30 May 2000,2000-05-30,D. H. Norris,98872,,,,,,
IMG_3175,,Homalothecium nuttallii (Wils.) Jaeg. + Sauerb.,,"Elwho levee, Port Angeles",,,,,,400,"Open sun, Rocks",CHECKED BY H.S. CONARD SC.D. BRYOPHYTA,1/18/59,1959-01-18,Marion P. Harthill,301,,,,,,
UC46732_2,F. RENAULD & J. CARDOT,Fontinalis antipyretica Hedw.,,lacus Pavin Arverniae,,,France,,,,,In aquis profundis,,,F. Renauld,30,Winona H. Welch,,Musci europ√¶i exsiccati,,,
UC1207518_2,MUSCI JAPONICI,Fontinalis antipyretica (L.) Hedw.,,near Azumi,,Nagano Prefecture,Japan,,,ca. 1500 m.,Rocks submerged in stream,Ser. 9 (1955) Edited by A. Noguchi & S. Hattori,,,U. Mizushima (Mrs.),,A. Noguchi,,,,,
UC1318628_2,,Fontinalis antipyretica L. ex Hedw.,,Vaud. Commune de Chavannes des Bois. Cours de la Versoix (rivi√®re).,,Vaud,Switzerland,,,464 m.,Sur les pierres submerg√©es dans le lit de la rivi√®re.,,,,S. Vautier | J-D. Bersier,390,Winona H. Welch,,Duplicatum ex CONSERVATORIO BOTANICO GENEVENSI HELVETIAE,,,
